식당ID,식당명,업종(메뉴)정보,테이크아웃여부,예약가능여부,선결제여부,지번주소,식당면적,식당위도,식당경도,어워드_글로벌,어워드_로컬,트립어드바이저 인기도,씨트립 인기도,네이버 인기도,RTI 인덱스,온라인화 진행 여부,다국어메뉴판 제공 여부,수용태세 지수,좌석수(입식),좌석수(좌식),베리어프리여부,반려동물출입가능여부,주차가능여부,식당 홈페이지,등록일시,영업시간정보,휴식시간정보
863583,누룩꽃 피는날 평화점,술집,Y,Y,N,전라북도 전주시 덕진구 송천동2가 1299-8,0,35.794803,127.1333166,,,0,0,0,0,Y,Y,3.7,84,84,Y,N,Y,,2020-11-15 19:31,FRI:18:00~03:00\nMON:18:00~03:00\nSAT:18:00~03:00\nSUN:18:00~03:00\nTHU:18:00~03:00\nTUE:18:00~03:00\nWED:18:00~03:00\nFRI:18:00~03:00\nMON:18:00~03:00\nSAT:18:00~03:00\nSUN:18:00~03:00\nTHU:18:00~03:00\nTUE:18:00~03:00\nWED:18:00~03:00\nFRI:18:00~03:00\nMON:18:00~03:00\nSAT:18:00~03:00\nSUN:18:00~03:00\nTHU:18:00~03:00\nTUE:18:00~03:00\nWED:18:00~03:00,
863586,차린,한식,Y,Y,N,전라북도 전주시 완산구 다가동4가 39-1,0,35.8429588,127.0645144,,,0,0,0,0,Y,Y,3.7,100,100,Y,N,Y,,2020-11-16 3:42,FRI:11:30~22:00\nMON:11:30~22:00\nSAT:11:30~22:00\nSUN:11:30~22:00\nTHU:11:30~22:00\nTUE:11:30~22:00\nWED:11:30~22:00\nFRI:11:30~22:00\nMON:11:30~22:00\nSAT:11:30~22:00\nSUN:11:30~22:00\nTHU:11:30~22:00\nTUE:11:30~22:00\nWED:11:30~22:00\nFRI:11:30~22:00\nMON:11:30~22:00\nSAT:11:30~22:00\nSUN:11:30~22:00\nTHU:11:30~22:00\nTUE:11:30~22:00\nWED:11:30~22:00,"15:00-17:00,15:00-17:00,15:00-17:00,15:00-17:00,15:00-17:00,15:00-17:00,15:00-17:00,15:00-17:00,15:00-17:00,15:00-17:00,15:00-17:00,15:00-17:00,15:00-17:00,15:00-17:00,15:00-17:00,15:00-17:00,15:00-17:00,15:00-17:00,15:00-17:00,15:00-17:00,15:00-17:00"
863587,사리본가,한식,Y,Y,N,전라북도 전주시 덕진구 송천동2가 1299-10,0,35.8426594,127.064469,,,0,0,0,0,Y,Y,3.7,140,140,Y,N,Y,,2020-12-14 17:53,FRI:11:00~22:00\nMON:11:00~22:00\nSAT:11:00~22:00\nSUN:11:00~22:00\nTHU:11:00~22:00\nTUE:11:00~22:00\nWED:11:00~22:00\nFRI:11:00~22:00\nMON:11:00~22:00\nSAT:11:00~22:00\nSUN:11:00~22:00\nTHU:11:00~22:00\nTUE:11:00~22:00\nWED:11:00~22:00\nFRI:11:00~22:00\nMON:11:00~22:00\nSAT:11:00~22:00\nSUN:11:00~22:00\nTHU:11:00~22:00\nTUE:11:00~22:00\nWED:11:00~22:00,"15:00-17:00,15:00-17:00,15:00-17:00,15:00-17:00,15:00-17:00,15:00-17:00,15:00-17:00,15:00-17:00,15:00-17:00,15:00-17:00,15:00-17:00,15:00-17:00,15:00-17:00,15:00-17:00,15:00-17:00,15:00-17:00,15:00-17:00,15:00-17:00,15:00-17:00,15:00-17:00,15:00-17:00"
863588,다사랑치킨피자 혁신점,피자,Y,Y,N,전라북도 전주시 덕진구 중동 776-4,0,35.8369626,127.0594965,,,0,0,0,0,Y,Y,3.46,80,80,N,N,Y,,2020-12-16 14:57,FRI:12:00~00:00\nMON:12:00~00:00\nSAT:12:00~00:00\nSUN:12:00~00:00\nTHU:12:00~00:00\nTUE:12:00~00:00\nWED:12:00~00:00\nFRI:12:00~00:00\nMON:12:00~00:00\nSAT:12:00~00:00\nSUN:12:00~00:00\nTHU:12:00~00:00\nTUE:12:00~00:00\nWED:12:00~00:00\nFRI:12:00~00:00\nMON:12:00~00:00\nSAT:12:00~00:00\nSUN:12:00~00:00\nTHU:12:00~00:00\nTUE:12:00~00:00\nWED:12:00~00:00,
863589,BHC 치킨 전주혁신도시점,치킨,Y,Y,N,전라북도 전주시 완산구 다가동4가 118-3,0,35.8367266,127.0599588,,,0,0,0,0,Y,Y,2.85,0,0,N,N,N,,2020-11-16 3:18,FRI:12:00~00:00\nMON:12:00~00:00\nSAT:12:00~00:00\nSUN:12:00~00:00\nTHU:12:00~00:00\nTUE:12:00~00:00\nWED:12:00~00:00\nFRI:12:00~00:00\nMON:12:00~00:00\nSAT:12:00~00:00\nSUN:12:00~00:00\nTHU:12:00~00:00\nTUE:12:00~00:00\nWED:12:00~00:00\nFRI:12:00~00:00\nMON:12:00~00:00\nSAT:12:00~00:00\nSUN:12:00~00:00\nTHU:12:00~00:00\nTUE:12:00~00:00\nWED:12:00~00:00,
863590,명륜진사갈비 전주혁신도시점,갈비,Y,Y,N,전라북도 전주시 완산구 다가동4가 66,0,35.8381051,127.0593368,,,0,0,0,0,Y,Y,3.7,98,98,Y,N,Y,,2020-11-16 3:19,FRI:11:00~23:00\nMON:11:00~23:00\nSAT:11:00~23:00\nSUN:11:00~23:00\nTHU:11:00~23:00\nTUE:11:00~23:00\nWED:11:00~23:00\nFRI:11:00~23:00\nMON:11:00~23:00\nSAT:11:00~23:00\nSUN:11:00~23:00\nTHU:11:00~23:00\nTUE:11:00~23:00\nWED:11:00~23:00\nFRI:11:00~23:00\nMON:11:00~23:00\nSAT:11:00~23:00\nSUN:11:00~23:00\nTHU:11:00~23:00\nTUE:11:00~23:00\nWED:11:00~23:00,
863591,dream box 혁신점,도시락,Y,Y,N,전라북도 전주시 덕진구 중동 774-2,0,35.8380944,127.0596511,,,0,0,0,0,Y,Y,3.44,12,12,Y,N,Y,,2020-11-16 3:21,FRI:10:00~20:00\nMON:10:00~20:00\nSAT:10:00~20:00\nSUN:10:00~20:00\nTHU:10:00~20:00\nTUE:10:00~20:00\nWED:10:00~20:00\nFRI:10:00~20:00\nMON:10:00~20:00\nSAT:10:00~20:00\nSUN:10:00~20:00\nTHU:10:00~20:00\nTUE:10:00~20:00\nWED:10:00~20:00\nFRI:10:00~20:00\nMON:10:00~20:00\nSAT:10:00~20:00\nSUN:10:00~20:00\nTHU:10:00~20:00\nTUE:10:00~20:00\nWED:10:00~20:00,
863592,피자써클 혁신중동점,피자,Y,Y,N,전라북도 전주시 완산구 다가동4가 98-6,0,35.8377165,127.0605622,,,0,0,0,0,Y,Y,3.42,10,10,Y,N,Y,,2020-11-16 3:40,FRI:11:00~23:30\nMON:11:00~23:30\nSAT:11:00~23:30\nSUN:11:00~23:30\nTHU:11:00~23:30\nTUE:11:00~23:30\nWED:11:00~23:30\nFRI:11:00~23:30\nMON:11:00~23:30\nSAT:11:00~23:30\nSUN:11:00~23:30\nTHU:11:00~23:30\nTUE:11:00~23:30\nWED:11:00~23:30\nFRI:11:00~23:30\nMON:11:00~23:30\nSAT:11:00~23:30\nSUN:11:00~23:30\nTHU:11:00~23:30\nTUE:11:00~23:30\nWED:11:00~23:30,
863593,충만치킨 혁신점,치킨,Y,Y,N,전라북도 전주시 덕진구 송천동2가 1301-2,0,35.8372898,127.0605586,,,0,0,0,0,Y,Y,3.7,45,45,Y,N,Y,,2020-11-16 3:38,FRI:16:00~00:00\nMON:16:00~00:00\nSAT:12:00~00:00\nSUN:12:00~00:00\nTHU:16:00~00:00\nTUE:16:00~00:00\nWED:16:00~00:00\nFRI:16:00~00:00\nMON:16:00~00:00\nSAT:12:00~00:00\nSUN:12:00~00:00\nTHU:16:00~00:00\nTUE:16:00~00:00\nWED:16:00~00:00\nFRI:16:00~00:00\nMON:16:00~00:00\nSAT:12:00~00:00\nSUN:12:00~00:00\nTHU:16:00~00:00\nTUE:16:00~00:00\nWED:16:00~00:00,
863594,청년피자전주혁신점,피자,Y,Y,N,전라북도 전주시 완산구 다가동4가 90-1,0,35.8381049,127.0609008,,,0,0,0,0,Y,Y,3.09,0,0,Y,N,N,,2020-11-16 3:24,FRI:11:00~22:30\nMON:11:00~22:30\nSAT:11:00~22:30\nSUN:11:00~22:30\nTHU:11:00~22:30\nTUE:11:00~22:30\nWED:11:00~22:30\nFRI:11:00~22:30\nMON:11:00~22:30\nSAT:11:00~22:30\nSUN:11:00~22:30\nTHU:11:00~22:30\nTUE:11:00~22:30\nWED:11:00~22:30\nFRI:11:00~22:30\nMON:11:00~22:30\nSAT:11:00~22:30\nSUN:11:00~22:30\nTHU:11:00~22:30\nTUE:11:00~22:30\nWED:11:00~22:30,
863595,모몽크,카페,Y,Y,N,전라북도 전주시 덕진구 금암동 767-2,0,35.8372949,127.0612927,,,0,0,0,0,Y,Y,3.2,12,12,Y,N,N,,2020-11-16 3:34,FRI:10:00~21:00\nMON:10:00~21:00\nSAT:10:00~21:00\nSUN:10:00~21:00\nTHU:10:00~21:00\nTUE:10:00~21:00\nWED:10:00~21:00\nFRI:10:00~21:00\nMON:10:00~21:00\nSAT:10:00~21:00\nSUN:10:00~21:00\nTHU:10:00~21:00\nTUE:10:00~21:00\nWED:10:00~21:00\nFRI:10:00~21:00\nMON:10:00~21:00\nSAT:10:00~21:00\nSUN:10:00~21:00\nTHU:10:00~21:00\nTUE:10:00~21:00\nWED:10:00~21:00,
863596,복돼지 혁신점,삼겹살,Y,Y,N,전라북도 전주시 완산구 다가동3가 46-2,0,35.8184338,127.139636,,,0,0,0,0,Y,Y,3.7,80,80,Y,N,Y,,2020-11-19 10:53,FRI:09:30~21:30\nMON:09:30~21:30\nSAT:09:30~21:30\nSUN:09:30~21:30\nTHU:09:30~21:30\nTUE:09:30~21:30\nWED:09:30~21:30\nFRI:09:30~21:30\nMON:09:30~21:30\nSAT:09:30~21:30\nSUN:09:30~21:30\nTHU:09:30~21:30\nTUE:09:30~21:30\nWED:09:30~21:30\nFRI:09:30~21:30\nMON:09:30~21:30\nSAT:09:30~21:30\nSUN:09:30~21:30\nTHU:09:30~21:30\nTUE:09:30~21:30\nWED:09:30~21:30,"15:00-16:30,15:00-16:30,15:00-16:30,15:00-16:30,15:00-16:30,15:00-16:30,15:00-16:30,15:00-16:30,15:00-16:30,15:00-16:30,15:00-16:30,15:00-16:30,15:00-16:30,15:00-16:30,15:00-16:30,15:00-16:30,15:00-16:30,15:00-16:30,15:00-16:30,15:00-16:30,15:00-16:30"
863597,맛드림김밥랜드 혁신점,김밥,Y,Y,N,전라북도 전주시 완산구 다가동4가 89-4,0,35.8380941,127.0605693,,,0,0,0,0,Y,Y,3.4,34,34,N,N,Y,,2020-11-18 16:57,FRI:07:00~22:00\nMON:07:00~22:00\nSAT:07:00~22:00\nSUN:07:00~22:00\nTHU:07:00~22:00\nTUE:07:00~22:00\nWED:07:00~22:00\nFRI:07:00~22:00\nMON:07:00~22:00\nSAT:07:00~22:00\nSUN:07:00~22:00\nTHU:07:00~22:00\nTUE:07:00~22:00\nWED:07:00~22:00\nFRI:07:00~22:00\nMON:07:00~22:00\nSAT:07:00~22:00\nSUN:07:00~22:00\nTHU:07:00~22:00\nTUE:07:00~22:00\nWED:07:00~22:00,
863598,본토홍반점,중식,Y,Y,N,전라북도 전주시 덕진구 중동 775-2,0,35.8381049,127.0609008,,,0,0,0,0,Y,Y,3.66,36,36,Y,N,Y,,2020-11-16 3:27,FRI:10:00~21:00\nMON:10:00~21:00\nSAT:10:00~21:00\nSUN:10:00~21:00\nTHU:10:00~21:00\nTUE:10:00~21:00\nWED:10:00~21:00\nFRI:10:00~21:00\nMON:10:00~21:00\nSAT:10:00~21:00\nSUN:10:00~21:00\nTHU:10:00~21:00\nTUE:10:00~21:00\nWED:10:00~21:00\nFRI:10:00~21:00\nMON:10:00~21:00\nSAT:10:00~21:00\nSUN:10:00~21:00\nTHU:10:00~21:00\nTUE:10:00~21:00\nWED:10:00~21:00,
863599,바른돈까스,돈가스,Y,Y,N,전라북도 전주시 덕진구 금암동 767-2,0,35.8314844,127.1131024,,,0,0,0,0,Y,Y,3.27,20,20,Y,Y,N,,2020-11-15 23:39,FRI:11:00~21:00\nMON:11:00~21:00\nSAT:11:00~21:00\nSUN:11:00~21:00\nTHU:11:00~21:00\nTUE:11:00~21:00\nWED:11:00~21:00\nFRI:11:00~21:00\nMON:11:00~21:00\nSAT:11:00~21:00\nSUN:11:00~21:00\nTHU:11:00~21:00\nTUE:11:00~21:00\nWED:11:00~21:00\nFRI:11:00~21:00\nMON:11:00~21:00\nSAT:11:00~21:00\nSUN:11:00~21:00\nTHU:11:00~21:00\nTUE:11:00~21:00\nWED:11:00~21:00,
863600,봉주르 밥상,한식,Y,Y,N,전라북도 전주시 완산구 다가동3가 44-2,0,35.8316235,127.1140632,,,0,0,0,0,Y,Y,3.22,48,48,N,N,N,,2020-11-15 23:39,FRI:11:30~22:00\nMON:11:30~22:00\nSAT:11:30~22:00\nSUN:11:30~22:00\nTHU:11:30~22:00\nTUE:11:30~22:00\nWED:11:30~22:00\nFRI:11:30~22:00\nMON:11:30~22:00\nSAT:11:30~22:00\nSUN:11:30~22:00\nTHU:11:30~22:00\nTUE:11:30~22:00\nWED:11:30~22:00\nFRI:11:30~22:00\nMON:11:30~22:00\nSAT:11:30~22:00\nSUN:11:30~22:00\nTHU:11:30~22:00\nTUE:11:30~22:00\nWED:11:30~22:00,"15:00-17:00,15:00-17:00,15:00-17:00,15:00-17:00,15:00-17:00,15:00-17:00,15:00-17:00,15:00-17:00,15:00-17:00,15:00-17:00,15:00-17:00,15:00-17:00,15:00-17:00,15:00-17:00,15:00-17:00,15:00-17:00,15:00-17:00,15:00-17:00,15:00-17:00,15:00-17:00,15:00-17:00"
