식당ID,식당명,업종(메뉴)정보,테이크아웃여부,예약가능여부,선결제여부,지번주소,식당면적,식당위도,식당경도,어워드_글로벌,어워드_로컬,트립어드바이저 인기도,씨트립 인기도,네이버 인기도,RTI 인덱스,온라인화 진행 여부,다국어메뉴판 제공 여부,수용태세 지수,좌석수(입식),좌석수(좌식),베리어프리여부,반려동물출입가능여부,주차가능여부,식당 홈페이지,등록일시,영업시간정보,휴식시간정보
2819,일등낙지 전주본점,낙지,Y,Y,N,전라북도 전주시 완산구 효자동3가 1534-6,0,35.8161239,127.1083255,,,0,0,5,2.34,Y,Y,3.46,72,72,N,N,Y,http://instagram.com/no.1nakji_official,2020-11-23 1:30,FRI:16:00~01:00\nMON:16:00~01:00\nSAT:16:00~01:00\nSUN:16:00~01:00\nTHU:16:00~01:00\nTUE:16:00~01:00\nWED:16:00~01:00\nFRI:16:00~01:00\nMON:16:00~01:00\nSAT:16:00~01:00\nSUN:16:00~01:00\nTHU:16:00~01:00\nTUE:16:00~01:00\nWED:16:00~01:00\nFRI:16:00~01:00\nMON:16:00~01:00\nSAT:16:00~01:00\nSUN:16:00~01:00\nTHU:16:00~01:00\nTUE:16:00~01:00\nWED:16:00~01:00,
15336,팔레티,카페,Y,N,N,전라북도 전주시 완산구 다가동4가 120,0,35.8198644,127.1382796,,,0,0,5,2.42,Y,Y,2.59,9,9,N,N,N,,2020-11-05 14:01,MON:00:00~22:00\nMON:00:00~22:00\nMON:00:00~22:00,
23996,다가생구이 본점,육류,N,Y,N,전라북도 전주시 완산구 고사동 462-9,51.48,35.8185493,127.1410306,,,0,0,5,2.68,Y,Y,3.3,0,0,N,N,Y,,2021-01-19 15:57,FRI:17:00~12:00\nMON:17:00~12:00\nSAT:17:00~12:00\nSUN:17:00~12:00\nTHU:17:00~12:00\nTUE:17:00~12:00\nWED:17:00~12:00\nFRI:17:00~12:00\nMON:17:00~12:00\nSAT:17:00~12:00\nSUN:17:00~12:00\nTHU:17:00~12:00\nTUE:17:00~12:00\nWED:17:00~12:00\nFRI:17:00~12:00\nMON:17:00~12:00\nSAT:17:00~12:00\nSUN:17:00~12:00\nTHU:17:00~12:00\nTUE:17:00~12:00\nWED:17:00~12:00,
30843,상무초밥 전주도청직영점,초밥,Y,Y,N,전라북도 전주시 완산구 효자동3가 1525-2,0,35.8182318,127.1064552,,,0,0,5,1.83,Y,Y,3.7,74,74,Y,N,Y,http://sangmusushi.kr/,2020-11-16 19:46,FRI:11:30~23:00\nMON:11:30~23:00\nSAT:11:30~23:00\nSUN:11:30~23:00\nTHU:11:30~23:00\nTUE:11:30~23:00\nWED:11:30~23:00\nFRI:11:30~23:00\nMON:11:30~23:00\nSAT:11:30~23:00\nSUN:11:30~23:00\nTHU:11:30~23:00\nTUE:11:30~23:00\nWED:11:30~23:00\nFRI:11:30~23:00\nMON:11:30~23:00\nSAT:11:30~23:00\nSUN:11:30~23:00\nTHU:11:30~23:00\nTUE:11:30~23:00\nWED:11:30~23:00,
46163,이치류양심,육류,N,Y,N,전라북도 전주시 완산구 효자동2가 1236-2,85,35.8173268,127.1043101,,,0,0,5,1.87,Y,Y,3.15,20,20,N,N,Y,http://www.instagram.com/lamb_chooo,2020-11-10 15:30,FRI:17:00~23:00\nMON:17:00~23:00\nSAT:17:00~23:00\nTHU:17:00~23:00\nTUE:17:00~23:00\nWED:17:00~23:00\nFRI:17:00~23:00\nMON:17:00~23:00\nSAT:17:00~23:00\nTHU:17:00~23:00\nTUE:17:00~23:00\nWED:17:00~23:00\nFRI:17:00~23:00\nMON:17:00~23:00\nSAT:17:00~23:00\nTHU:17:00~23:00\nTUE:17:00~23:00\nWED:17:00~23:00,
49634,편백집 전주객사점,육류,N,Y,N,전라북도 전주시 완산구 고사동 243-1,0,35.8213725,127.1431264,,,0,0,5,2.68,Y,Y,3.57,64,64,Y,N,Y,http://www.globaltable.co.kr,2020-11-18 1:14,FRI:11:30~22:00\nMON:11:30~22:00\nSAT:11:30~22:00\nSUN:11:30~22:00\nTHU:11:30~22:00\nTUE:11:30~22:00\nWED:11:30~22:00\nFRI:11:30~22:00\nMON:11:30~22:00\nSAT:11:30~22:00\nSUN:11:30~22:00\nTHU:11:30~22:00\nTUE:11:30~22:00\nWED:11:30~22:00\nFRI:11:30~22:00\nMON:11:30~22:00\nSAT:11:30~22:00\nSUN:11:30~22:00\nTHU:11:30~22:00\nTUE:11:30~22:00\nWED:11:30~22:00,"오후3시30분~5시,오후3시30분~5시,오후3시30분~5시,오후3시30분~5시,오후3시30분~5시,오후3시30분~5시,오후3시30분~5시,오후3시30분~5시,오후3시30분~5시,오후3시30분~5시,오후3시30분~5시,오후3시30분~5시,오후3시30분~5시,오후3시30분~5시,오후3시30분~5시,오후3시30분~5시,오후3시30분~5시,오후3시30분~5시,오후3시30분~5시,오후3시30분~5시,오후3시30분~5시"
62358,호맥,맥주,N,Y,N,전라북도 전주시 완산구 다가동4가 57-3,0,35.8198308,127.1397893,,,0,0,5,2.48,Y,Y,2.97,0,0,N,N,Y,,2020-12-24 14:45,MON:17:00~03:00\nMON:17:00~03:00\nMON:17:00~03:00,
64855,그랑삐아또 중화산본점,이탈리아음식,Y,Y,N,전라북도 전주시 완산구 중화산동1가 303-1,436.98,35.8130502,127.1331042,,,0,0,5,2.52,Y,Y,3.57,132,132,Y,N,Y,http://blog.naver.com/gran0066,2020-10-15 21:28,FRI:11:30~21:00\nSAT:11:30~21:00\nSUN:11:30~21:00\nTHU:11:30~21:00\nTUE:11:30~21:00\nWED:11:30~21:00\nFRI:11:30~21:00\nSAT:11:30~21:00\nSUN:11:30~21:00\nTHU:11:30~21:00\nTUE:11:30~21:00\nWED:11:30~21:00\nFRI:11:30~21:00\nSAT:11:30~21:00\nSUN:11:30~21:00\nTHU:11:30~21:00\nTUE:11:30~21:00\nWED:11:30~21:00,"14:30-17:30,14:30-17:30,14:30-17:30,14:30-17:30,14:30-17:30,14:30-17:30,14:30-17:30,14:30-17:30,14:30-17:30,14:30-17:30,14:30-17:30,14:30-17:30,14:30-17:30,14:30-17:30,14:30-17:30,14:30-17:30,14:30-17:30,14:30-17:30"
68940,오원집 본점,한식,Y,Y,N,전라북도 전주시 완산구 태평동 10-9,128.92,35.8261054,127.1409612,,,0,0,5,2.43,Y,Y,3.46,54,54,N,N,Y,,2020-12-24 18:40,FRI:16:30~04:00\nMON:16:30~04:00\nSAT:16:30~04:00\nSUN:16:30~04:00\nTHU:16:30~04:00\nTUE:16:30~04:00\nWED:16:30~04:00\nFRI:16:30~04:00\nMON:16:30~04:00\nSAT:16:30~04:00\nSUN:16:30~04:00\nTHU:16:30~04:00\nTUE:16:30~04:00\nWED:16:30~04:00\nFRI:16:30~04:00\nMON:16:30~04:00\nSAT:16:30~04:00\nSUN:16:30~04:00\nTHU:16:30~04:00\nTUE:16:30~04:00\nWED:16:30~04:00,
79381,고궁 전주본점,한식,Y,Y,N,전라북도 전주시 덕진구 덕진동2가 168-9,1035,35.8500956,127.1193921,,,0,0,5,2.14,Y,Y,3.7,80,80,Y,N,Y,https://jeonjugogung.modoo.at,2020-11-25 15:53,FRI:11:00~21:00\nMON:11:00~21:00\nSAT:11:00~21:00\nSUN:11:00~21:00\nTHU:11:00~21:00\nTUE:11:00~21:00\nWED:11:00~21:00\nFRI:11:00~21:00\nMON:11:00~21:00\nSAT:11:00~21:00\nSUN:11:00~21:00\nTHU:11:00~21:00\nTUE:11:00~21:00\nWED:11:00~21:00\nFRI:11:00~21:00\nMON:11:00~21:00\nSAT:11:00~21:00\nSUN:11:00~21:00\nTHU:11:00~21:00\nTUE:11:00~21:00\nWED:11:00~21:00,
84510,해태바베큐,치킨,Y,Y,N,전라북도 전주시 완산구 경원동2가 7-6,22.44,35.8184069,127.1487413,,,0,0,5,2.32,Y,Y,3.1,46,46,N,N,N,,2020-11-06 22:31,FRI:10:00~23:00\nSAT:10:00~23:00\nSUN:10:00~23:00\nTHU:10:00~23:00\nTUE:10:00~23:00\nWED:10:00~23:00\nFRI:10:00~23:00\nSAT:10:00~23:00\nSUN:10:00~23:00\nTHU:10:00~23:00\nTUE:10:00~23:00\nWED:10:00~23:00\nFRI:10:00~23:00\nSAT:10:00~23:00\nSUN:10:00~23:00\nTHU:10:00~23:00\nTUE:10:00~23:00\nWED:10:00~23:00,
92276,라리코,뷔페,N,Y,N,전라북도 전주시 완산구 효자동2가 1332-1,0,35.8081665,127.1051227,,,0,0,5,2.49,Y,Y,2.84,0,0,N,N,Y,http://larico.co.kr,2020-12-04 17:31,MON:11:30~22:00\nMON:11:30~22:00\nMON:11:30~22:00,"15:50-17:30,15:50-17:30,15:50-17:30"
96770,온리핸즈,양식,Y,Y,N,전라북도 전주시 완산구 다가동4가 10-7,0,35.8206681,127.1381574,,,0,0,5,1.88,Y,Y,2.99,15,15,N,N,N,http://blog.naver.com/onlyhands,2020-11-06 15:03,MON:16:00~02:00\nMON:16:00~02:00\nMON:16:00~02:00,
102244,카페 프로바이더,카페,Y,Y,N,전라북도 전주시 덕진구 덕진동1가 1263-22,0,35.8425956,127.1275774,,,0,0,5,2.5,Y,Y,3.22,76,76,N,N,N,https://www.instagram.com/cafeprovider,2020-11-19 22:53,FRI:09:00~22:30\nMON:09:00~22:30\nSAT:09:00~22:30\nSUN:10:00~22:30\nTHU:09:00~22:30\nTUE:10:00~22:30\nWED:09:00~22:30\nFRI:09:00~22:30\nMON:09:00~22:30\nSAT:09:00~22:30\nSUN:10:00~22:30\nTHU:09:00~22:30\nTUE:10:00~22:30\nWED:09:00~22:30\nFRI:09:00~22:30\nMON:09:00~22:30\nSAT:09:00~22:30\nSUN:10:00~22:30\nTHU:09:00~22:30\nTUE:10:00~22:30\nWED:09:00~22:30,
105196,현대옥 남부시장점,국밥,N,N,N,전라북도 전주시 완산구 전동3가 2-242,0,35.8125161,127.1463017,,,0,0,5,2.37,Y,Y,2.5,0,0,N,N,Y,http://www.hyundaiok.com/,2020-12-03 17:17,MON:10:00~22:00\nMON:10:00~22:00\nMON:10:00~22:00,
124634,피플레이트,카페,Y,Y,N,전라북도 전주시 완산구 효자동3가 1689-5,114.85,35.8208546,127.1014112,,,0,0,5,2.25,Y,Y,3.66,36,36,Y,N,Y,,2020-11-14 15:59,FRI:09:00~22:00\nMON:09:00~22:00\nSAT:09:00~22:00\nSUN:09:00~22:00\nTHU:09:00~22:00\nTUE:09:00~22:00\nWED:09:00~22:00\nFRI:09:00~22:00\nMON:09:00~22:00\nSAT:09:00~22:00\nSUN:09:00~22:00\nTHU:09:00~22:00\nTUE:09:00~22:00\nWED:09:00~22:00\nFRI:09:00~22:00\nMON:09:00~22:00\nSAT:09:00~22:00\nSUN:09:00~22:00\nTHU:09:00~22:00\nTUE:09:00~22:00\nWED:09:00~22:00,
136792,고자루,우동,N,Y,N,전라북도 전주시 완산구 고사동 473-9,0,35.8189764,127.1412321,,,0,0,5,2.28,Y,Y,3.15,20,20,N,N,Y,,2020-11-10 14:15,FRI:11:00~21:00\nMON:11:00~21:00\nSAT:11:00~21:00\nSUN:11:00~21:00\nTHU:11:00~21:00\nTUE:11:00~21:00\nWED:11:00~21:00\nFRI:11:00~21:00\nMON:11:00~21:00\nSAT:11:00~21:00\nSUN:11:00~21:00\nTHU:11:00~21:00\nTUE:11:00~21:00\nWED:11:00~21:00\nFRI:11:00~21:00\nMON:11:00~21:00\nSAT:11:00~21:00\nSUN:11:00~21:00\nTHU:11:00~21:00\nTUE:11:00~21:00\nWED:11:00~21:00,
153918,최우영식당,초밥,Y,Y,N,전라북도 전주시 완산구 고사동 340-3,382.68,35.8202155,127.1414706,,,0,0,5,2.26,Y,Y,3.7,100,100,Y,N,Y,,2020-11-19 0:38,FRI:11:30~23:30\nMON:11:30~23:30\nSAT:11:30~23:30\nSUN:11:30~23:30\nTHU:11:30~23:30\nTUE:11:30~23:30\nWED:11:30~23:30\nFRI:11:30~23:30\nMON:11:30~23:30\nSAT:11:30~23:30\nSUN:11:30~23:30\nTHU:11:30~23:30\nTUE:11:30~23:30\nWED:11:30~23:30\nFRI:11:30~23:30\nMON:11:30~23:30\nSAT:11:30~23:30\nSUN:11:30~23:30\nTHU:11:30~23:30\nTUE:11:30~23:30\nWED:11:30~23:30,"오후3시~5시,오후3시~5시,오후3시~5시,오후3시~5시,오후3시~5시,오후3시~5시,오후3시~5시,오후3시~5시,오후3시~5시,오후3시~5시,오후3시~5시,오후3시~5시,오후3시~5시,오후3시~5시,오후3시~5시,오후3시~5시,오후3시~5시,오후3시~5시,오후3시~5시,오후3시~5시,오후3시~5시"
167929,하숙영가마솥비빔밥,한식,N,Y,N,전라북도 전주시 완산구 중앙동3가 78-1,260.92,35.8174349,127.1458214,,,0,0,5,2.26,Y,Y,2.97,0,0,N,N,Y,http://gamasotbibimbap.modoo.at/,2020-12-04 17:59,FRI:11:00~21:00\nMON:11:00~21:00\nSAT:11:00~21:00\nSUN:11:00~21:00\nTHU:11:00~21:00\nTUE:11:00~21:00\nWED:11:00~21:00\nFRI:11:00~21:00\nMON:11:00~21:00\nSAT:11:00~21:00\nSUN:11:00~21:00\nTHU:11:00~21:00\nTUE:11:00~21:00\nWED:11:00~21:00\nFRI:11:00~21:00\nMON:11:00~21:00\nSAT:11:00~21:00\nSUN:11:00~21:00\nTHU:11:00~21:00\nTUE:11:00~21:00\nWED:11:00~21:00,
172925,용진집막걸리,술집,N,Y,N,전라북도 전주시 완산구 삼천동1가 623-5,0,35.7971861,127.1227477,,,0,0,5,2.5,Y,Y,3.1,88,88,N,N,N,http://yjj368.com,2020-10-23 20:04,FRI:03:00~00:00\nMON:03:00~00:00\nSAT:03:00~00:00\nSUN:03:00~00:00\nTHU:03:00~00:00\nTUE:03:00~00:00\nWED:03:00~00:00\nFRI:03:00~00:00\nMON:03:00~00:00\nSAT:03:00~00:00\nSUN:03:00~00:00\nTHU:03:00~00:00\nTUE:03:00~00:00\nWED:03:00~00:00\nFRI:03:00~00:00\nMON:03:00~00:00\nSAT:03:00~00:00\nSUN:03:00~00:00\nTHU:03:00~00:00\nTUE:03:00~00:00\nWED:03:00~00:00,
198640,알베르베로,샌드위치,Y,Y,N,전라북도 전주시 완산구 효자동2가 1158-30,36.48,35.8110859,127.1064716,,,0,0,5,2.08,Y,Y,3.2,12,12,N,N,Y,https://www.instagram.com/junseo0525,2020-11-10 11:24,FRI:10:00~20:00\nMON:10:00~20:00\nSAT:10:00~20:00\nSUN:10:00~20:00\nTHU:10:00~20:00\nTUE:10:00~20:00\nWED:10:00~20:00\nFRI:10:00~20:00\nMON:10:00~20:00\nSAT:10:00~20:00\nSUN:10:00~20:00\nTHU:10:00~20:00\nTUE:10:00~20:00\nWED:10:00~20:00\nFRI:10:00~20:00\nMON:10:00~20:00\nSAT:10:00~20:00\nSUN:10:00~20:00\nTHU:10:00~20:00\nTUE:10:00~20:00\nWED:10:00~20:00,
198907,호시마츠생라멘,라멘,N,Y,N,전라북도 전주시 완산구 고사동 473-9,43,35.8190438,127.1414487,,,0,0,5,2.23,Y,Y,3.13,18,18,N,N,Y,https://www.instagram.com/hosimatsu_official/,2020-11-11 15:04,FRI:11:30~21:00\nMON:11:30~21:00\nSAT:11:30~21:00\nSUN:11:30~21:00\nTHU:11:30~21:00\nTUE:11:30~21:00\nWED:11:30~21:00\nFRI:11:30~21:00\nMON:11:30~21:00\nSAT:11:30~21:00\nSUN:11:30~21:00\nTHU:11:30~21:00\nTUE:11:30~21:00\nWED:11:30~21:00\nFRI:11:30~21:00\nMON:11:30~21:00\nSAT:11:30~21:00\nSUN:11:30~21:00\nTHU:11:30~21:00\nTUE:11:30~21:00\nWED:11:30~21:00,
206726,1989S,양식,N,N,N,전라북도 전주시 완산구 다가동4가 75-4,0,35.8191613,127.1392952,,,0,0,5,2.3,Y,Y,2.26,0,0,N,N,N,http://www.instagram.com/jeonju1989s,2020-12-04 9:34,MON:11:00~22:00\nMON:11:00~22:00\nMON:11:00~22:00,
218769,빈타이 송천점,케이크전문,Y,N,N,전라북도 전주시 덕진구 송천동1가 265-42,220,35.8515681,127.1211965,,,0,0,5,1.98,Y,Y,3.35,60,60,Y,N,Y,,2020-11-12 23:31,FRI:11:00~23:00\nMON:11:00~23:00\nSAT:11:00~23:00\nSUN:11:00~23:00\nTHU:11:00~23:00\nTUE:11:00~23:00\nWED:11:00~23:00\nFRI:11:00~23:00\nMON:11:00~23:00\nSAT:11:00~23:00\nSUN:11:00~23:00\nTHU:11:00~23:00\nTUE:11:00~23:00\nWED:11:00~23:00\nFRI:11:00~23:00\nMON:11:00~23:00\nSAT:11:00~23:00\nSUN:11:00~23:00\nTHU:11:00~23:00\nTUE:11:00~23:00\nWED:11:00~23:00,
219306,소담촌 전주효자점,샤브샤브,Y,Y,N,전라북도 전주시 완산구 효자동2가 1239-5,377.24,35.8160109,127.1055009,,,0,0,5,2.43,Y,Y,3.7,130,130,Y,N,Y,,2020-10-22 12:27,FRI:11:00~22:00\nMON:11:00~22:00\nSAT:11:00~22:00\nSUN:11:00~22:00\nTHU:11:00~22:00\nTUE:11:00~22:00\nWED:11:00~22:00\nFRI:11:00~22:00\nMON:11:00~22:00\nSAT:11:00~22:00\nSUN:11:00~22:00\nTHU:11:00~22:00\nTUE:11:00~22:00\nWED:11:00~22:00\nFRI:11:00~22:00\nMON:11:00~22:00\nSAT:11:00~22:00\nSUN:11:00~22:00\nTHU:11:00~22:00\nTUE:11:00~22:00\nWED:11:00~22:00,
220276,누보닭갈비,닭갈비,Y,Y,N,전라북도 전주시 완산구 고사동 185,0,35.821098,127.1441298,,,0,0,5,2.48,Y,Y,3.46,64,64,N,N,Y,http://www.instagram.com/nouveau_chicken,2020-11-19 1:51,FRI:11:00~22:00\nMON:11:00~22:00\nSAT:11:00~22:00\nSUN:11:00~22:00\nTHU:11:00~22:00\nTUE:11:00~22:00\nWED:11:00~22:00\nFRI:11:00~22:00\nMON:11:00~22:00\nSAT:11:00~22:00\nSUN:11:00~22:00\nTHU:11:00~22:00\nTUE:11:00~22:00\nWED:11:00~22:00\nFRI:11:00~22:00\nMON:11:00~22:00\nSAT:11:00~22:00\nSUN:11:00~22:00\nTHU:11:00~22:00\nTUE:11:00~22:00\nWED:11:00~22:00,
246881,카츠연,일식,N,Y,N,전라북도 전주시 완산구 효자동3가 1533-3,0,35.8167449,127.1073599,,,0,0,5,2.26,Y,Y,2.97,0,0,N,N,Y,http://instagram.com/l_y_j_0114,2020-12-03 16:59,MON:00:00~12:00\nMON:00:00~12:00\nMON:00:00~12:00,
251890,맨스플레이트,양식,Y,Y,N,전라북도 전주시 완산구 효자동1가 453-1,0,35.8056422,127.1152838,,,0,0,5,2.06,Y,Y,3.58,28,28,Y,N,Y,http://blog.naver.com/jihun9876,2020-11-16 17:19,FRI:11:30~20:30\nSAT:11:30~20:30\nSUN:11:30~20:30\nTHU:11:30~20:30\nTUE:11:30~20:30\nWED:11:30~20:30\nFRI:11:30~20:30\nSAT:11:30~20:30\nSUN:11:30~20:30\nTHU:11:30~20:30\nTUE:11:30~20:30\nWED:11:30~20:30\nFRI:11:30~20:30\nSAT:11:30~20:30\nSUN:11:30~20:30\nTHU:11:30~20:30\nTUE:11:30~20:30\nWED:11:30~20:30,"15:00-17:00,15:00-17:00,15:00-17:00,15:00-17:00,15:00-17:00,15:00-17:00,15:00-17:00,15:00-17:00,15:00-17:00,15:00-17:00,15:00-17:00,15:00-17:00,15:00-17:00,15:00-17:00,15:00-17:00,15:00-17:00,15:00-17:00,15:00-17:00"
271023,교동석쇠불고기,육류,Y,Y,N,전라북도 전주시 완산구 교동 80-5,170.91,35.813775,127.152542,,,0,0,5,1.9,Y,Y,3.22,72,72,N,N,N,,2020-11-19 0:18,FRI:10:30~21:00\nMON:10:30~21:00\nSAT:10:30~21:30\nSUN:10:30~21:30\nTHU:10:30~21:00\nTUE:10:30~21:00\nWED:10:30~21:00\nFRI:10:30~21:00\nMON:10:30~21:00\nSAT:10:30~21:30\nSUN:10:30~21:30\nTHU:10:30~21:00\nTUE:10:30~21:00\nWED:10:30~21:00\nFRI:10:30~21:00\nMON:10:30~21:00\nSAT:10:30~21:30\nSUN:10:30~21:30\nTHU:10:30~21:00\nTUE:10:30~21:00\nWED:10:30~21:00,
297690,쿠우쿠우 전주송천점,뷔페,N,Y,N,전라북도 전주시 덕진구 송천동2가 179-116,0,35.8666265,127.1307011,,,0,0,5,2.42,Y,Y,2.84,0,0,N,N,Y,http://www.qooqoo.co.kr/,2020-12-04 16:07,MON:00:00~12:00\nMON:00:00~12:00\nMON:00:00~12:00,
298899,청담옥,한식,Y,Y,N,전라북도 전주시 덕진구 장동 600-4,110.54,35.855655,127.0661796,,,0,0,5,1.86,Y,Y,3.09,0,0,N,N,Y,,2020-12-04 16:12,MON:00:00~12:00\nMON:00:00~12:00\nMON:00:00~12:00,
318022,볼몬드,양식,Y,Y,N,전라북도 전주시 완산구 효자동3가 1528-4,0,35.8183354,127.1102267,,,0,0,5,2.12,Y,Y,3.7,46,46,Y,N,Y,http://instagram.com/vollmond_dining,2021-01-07 10:40,FRI:11:40~21:30\nSAT:11:40~21:30\nSUN:11:40~21:30\nTHU:11:40~21:30\nTUE:11:40~21:30\nWED:11:40~21:30\nFRI:11:40~21:30\nSAT:11:40~21:30\nSUN:11:40~21:30\nTHU:11:40~21:30\nTUE:11:40~21:30\nWED:11:40~21:30\nFRI:11:40~21:30\nSAT:11:40~21:30\nSUN:11:40~21:30\nTHU:11:40~21:30\nTUE:11:40~21:30\nWED:11:40~21:30,"오후 3:00 - 오후 5:00,오후 3:00 - 오후 5:00,오후 3:00 - 오후 5:00,오후 3:00 - 오후 5:00,오후 3:00 - 오후 5:00,오후 3:00 - 오후 5:00,오후 3:00 - 오후 5:00,오후 3:00 - 오후 5:00,오후 3:00 - 오후 5:00,오후 3:00 - 오후 5:00,오후 3:00 - 오후 5:00,오후 3:00 - 오후 5:00,오후 3:00 - 오후 5:00,오후 3:00 - 오후 5:00,오후 3:00 - 오후 5:00,오후 3:00 - 오후 5:00,오후 3:00 - 오후 5:00,오후 3:00 - 오후 5:00"
321654,라보테,양식,N,Y,N,전라북도 전주시 덕진구 장동 1093-1 3층,369.38,35.843589,127.0644783,,,0,0,5,1.8,Y,Y,3.57,80,80,Y,N,Y,,2020-11-10 2:46,FRI:11:00~21:00\nMON:11:00~21:00\nSAT:11:00~21:00\nSUN:11:00~21:00\nTHU:11:00~21:00\nTUE:11:00~21:00\nWED:11:00~21:00\nFRI:11:00~21:00\nMON:11:00~21:00\nSAT:11:00~21:00\nSUN:11:00~21:00\nTHU:11:00~21:00\nTUE:11:00~21:00\nWED:11:00~21:00\nFRI:11:00~21:00\nMON:11:00~21:00\nSAT:11:00~21:00\nSUN:11:00~21:00\nTHU:11:00~21:00\nTUE:11:00~21:00\nWED:11:00~21:00,
352722,한미반점,중식,N,N,N,전라북도 전주시 완산구 다가동3가 16,0,35.8177907,127.1408205,,,0,0,5,2.47,Y,Y,2.71,12,12,N,N,N,,2020-11-14 23:35,FRI:12:00~20:00\nMON:12:00~20:00\nSAT:12:00~20:00\nSUN:12:00~20:00\nTHU:12:00~20:00\nTUE:12:00~20:00\nWED:12:00~20:00\nFRI:12:00~20:00\nMON:12:00~20:00\nSAT:12:00~20:00\nSUN:12:00~20:00\nTHU:12:00~20:00\nTUE:12:00~20:00\nWED:12:00~20:00\nFRI:12:00~20:00\nMON:12:00~20:00\nSAT:12:00~20:00\nSUN:12:00~20:00\nTHU:12:00~20:00\nTUE:12:00~20:00\nWED:12:00~20:00,
352849,김밥이야기,김밥,Y,Y,N,전라북도 전주시 완산구 고사동 422,0,35.8181677,127.1435831,,,0,0,5,1.85,Y,Y,2.95,24,24,N,N,N,,2020-11-30 1:45,FRI:09:00~20:30\nMON:09:00~20:30\nSAT:09:00~20:30\nSUN:09:00~20:30\nTHU:09:00~20:30\nTUE:09:00~20:30\nFRI:09:00~20:30\nMON:09:00~20:30\nSAT:09:00~20:30\nSUN:09:00~20:30\nTHU:09:00~20:30\nTUE:09:00~20:30\nFRI:09:00~20:30\nMON:09:00~20:30\nSAT:09:00~20:30\nSUN:09:00~20:30\nTHU:09:00~20:30\nTUE:09:00~20:30,
352906,나무라듸오,카페,Y,Y,N,전라북도 전주시 완산구 고사동 392-4,57.6,35.8194755,127.1421477,,,0,0,5,2.1,Y,Y,3.46,50,50,N,N,Y,http://instagram.com/cafe_namooradio,2020-11-23 6:18,FRI:12:00~22:00\nMON:12:00~22:00\nSAT:12:00~22:00\nSUN:12:00~22:00\nTHU:12:00~22:00\nTUE:12:00~22:00\nFRI:12:00~22:00\nMON:12:00~22:00\nSAT:12:00~22:00\nSUN:12:00~22:00\nTHU:12:00~22:00\nTUE:12:00~22:00\nFRI:12:00~22:00\nMON:12:00~22:00\nSAT:12:00~22:00\nSUN:12:00~22:00\nTHU:12:00~22:00\nTUE:12:00~22:00,
352936,시골촌,육류,Y,Y,N,전라북도 전주시 완산구 고사동 447-6,0,35.8175991,127.1413174,,,0,0,5,2.38,Y,Y,3.7,120,120,Y,N,Y,,2020-11-29 20:15,FRI:10:00~23:00\nMON:10:00~23:00\nSAT:10:00~23:00\nSUN:10:00~23:00\nTHU:10:00~23:00\nTUE:10:00~23:00\nWED:10:00~23:00\nFRI:10:00~23:00\nMON:10:00~23:00\nSAT:10:00~23:00\nSUN:10:00~23:00\nTHU:10:00~23:00\nTUE:10:00~23:00\nWED:10:00~23:00\nFRI:10:00~23:00\nMON:10:00~23:00\nSAT:10:00~23:00\nSUN:10:00~23:00\nTHU:10:00~23:00\nTUE:10:00~23:00\nWED:10:00~23:00,
352985,더마중,한식,Y,Y,N,전라북도 전주시 완산구 고사동 432-3,48,35.8181456,127.1431311,,,0,0,5,2.32,Y,Y,3.7,24,24,Y,N,Y,,2020-11-23 6:51,FRI:11:00~22:00\nMON:11:00~22:00\nSAT:11:00~22:00\nSUN:11:00~22:00\nTHU:11:00~22:00\nTUE:11:00~22:00\nWED:11:00~22:00\nFRI:11:00~22:00\nMON:11:00~22:00\nSAT:11:00~22:00\nSUN:11:00~22:00\nTHU:11:00~22:00\nTUE:11:00~22:00\nWED:11:00~22:00\nFRI:11:00~22:00\nMON:11:00~22:00\nSAT:11:00~22:00\nSUN:11:00~22:00\nTHU:11:00~22:00\nTUE:11:00~22:00\nWED:11:00~22:00,"오후3시~4시,오후3시~4시,오후3시30분~4시30분,오후3시30분~4시30분,오후3시~4시,오후3시~4시,오후3시~4시,오후3시~4시,오후3시~4시,오후3시30분~4시30분,오후3시30분~4시30분,오후3시~4시,오후3시~4시,오후3시~4시,오후3시~4시,오후3시~4시,오후3시30분~4시30분,오후3시30분~4시30분,오후3시~4시,오후3시~4시,오후3시~4시"
